colA,colB
1.0,5.528104691935328
1.183673469387755,3.167661355509957
1.3673469387755102,4.692169845762499
1.5510204081632653,7.583827214729446
1.7346938775510203,7.204503735401976
1.9183673469387754,1.8821789341247288
2.1020408163265305,6.1042584677042395
2.2857142857142856,4.268714154833176
2.4693877551020407,4.7323378066169655
2.6530612244897958,6.127319452856336
2.836734693877551,5.961556530076858
3.0204081632653064,8.949363340456562
3.2040816326530615,7.93023871560011
3.3877551020408165,7.01886023706729
3.5714285714285716,8.030583608347994
3.7551020408163267,8.177552736381188
3.938775510204082,10.865709166723375
4.122448979591837,7.834581431652073
4.3061224489795915,9.238380301260985
4.4897959183673475,7.271400358131245
4.673469387755102,4.240959143842046
4.857142857142858,11.021522905166437
5.040816326530613,11.810505050780236
5.224489795918368,8.964649551023852
5.408163265306123,15.355835778587462
5.591836734693878,8.274942120190227
5.775510204081633,11.642537442766159
5.959183673469388,11.543999646887109
6.142857142857143,15.351272714431202
6.326530612244898,15.591778764290368
6.510204081632653,13.330303014659139
6.6938775510204085,14.144080141245164
6.877551020408164,11.979530545556102
7.061224489795919,10.160856043143983
7.244897959183674,13.793971619715043
7.428571428571429,15.169840795350817
7.612244897959184,17.68507115737381
7.795918367346939,17.9965964322627
7.979591836734694,15.184530038653484
8.16326530612245,15.721925111094228
8.346938775510203,14.596771620886221
8.53061224489796,14.221188615437969
8.714285714285715,14.016031047321405
8.89795918367347,21.697469157810517
9.081632653061225,17.143960942619145
9.26530612244898,17.654463641675587
9.448979591836736,16.392368463573618
9.63265306122449,20.8202868341128
9.816326530612246,16.404857366108587
10.0,19.57451943957206
